trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
522,False,"{'a': 0.259, 'e': 0.20887902966927693}",25,20,10.132115022103221,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.2585, 'e': 0.20825333159665155}",25,17,-6.203164452617957,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
524,False,"{'a': 0.258, 'e': 0.2076295078054162}",25,15,20.36830050860801,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.2575, 'e': 0.20700755268115265}",20,0,-23.67980038916759,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
526,False,"{'a': 0.257, 'e': 0.20638746062626045}",20,14,11.484198793694102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.2565, 'e': 0.20576922605990708}",30,7,-58.25928803863192,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
528,False,"{'a': 0.256, 'e': 0.20515284341797715}",20,13,-29.754300054704228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
529,False,"{'a': 0.2555, 'e': 0.2045383071530228}",20,9,19.759586946252174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.255, 'e': 0.20392561173421342}",25,1,-15.564827362396922,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
531,False,"{'a': 0.2545, 'e': 0.20331475164728618}",25,14,-13.047289185492126,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
532,False,"{'a': 0.254, 'e': 0.2027057213944961}",25,8,12.433256644371365,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.2535, 'e': 0.2020985154945669}",25,10,3.7496978270970804,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
534,False,"{'a': 0.253, 'e': 0.20149312848264125}",20,12,-7.680833878042784,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
535,False,"{'a': 0.2525, 'e': 0.20088955491023208}",20,0,-19.177221879915646,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
536,False,"{'a': 0.252, 'e': 0.20028778934517305}",20,3,20.28631665477638,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
537,False,"{'a': 0.2515, 'e': 0.19968782637157012}",20,3,-0.7176717734440698,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
538,False,"{'a': 0.251, 'e': 0.1990896605897524}",30,15,-15.754068168933056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
539,False,"{'a': 0.2505, 'e': 0.19849328661622387}",35,21,-24.12568203605126,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
540,False,"{'a': 0.25, 'e': 0.19789869908361465}",25,0,26.633141118513933,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
541,False,"{'a': 0.2495, 'e': 0.19730589264063308}",20,12,13.013695006175233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.249, 'e': 0.19671486195201704}",20,4,29.387213890582586,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.2485, 'e': 0.19612560169848642}",25,16,6.235509632759853,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
544,False,"{'a': 0.248, 'e': 0.1955381065766949}",20,9,-20.68865956993856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
545,False,"{'a': 0.2475, 'e': 0.1949523712991825}",30,7,-1.674587945301246,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
546,False,"{'a': 0.247, 'e': 0.19436839059432767}",25,18,15.226179529421342,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.2465, 'e': 0.1937861592063002}",25,11,27.13650477987991,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.246, 'e': 0.19320567189501364}",20,6,5.565422379911891,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
549,False,"{'a': 0.2455, 'e': 0.19262692343607832}",25,5,20.92146975290553,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
550,False,"{'a': 0.245, 'e': 0.19204990862075408}",25,7,18.615570264715362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
551,False,"{'a': 0.2445, 'e': 0.19147462225590384}",25,5,-60.591520934290536,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
552,False,"{'a': 0.244, 'e': 0.19090105916394629}",25,16,16.02882509454747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
